Country,Code,Debt,Exports,Savings,Inflation,PCI,Fertility,Exp_educ
Guam,GUM,,0,0,0,0,2.426,0
Guinea,GIN,,0,0,15.22455748,440,5.001,7.70627
Guinea-Bissau,GNB,,0,0,2.130545803,510,4.989,0
Guyana,GUY,,0,11.08560829,2.391935213,3410,2.591,8.21523
Haiti,HTI,,13.22546135,25.62739501,6.279665496,760,3.212,0
Honduras,HND,,50.39183061,16.52665951,5.196186155,2120,3.05,0
"Hong Kong SAR, China",HKG,,0,28.3190849,4.056603774,36560,1.285,14.17736
Indonesia,IDN,,24.25883099,32.03290553,4.279511959,3420,2.37,0
"Iran, Islamic Rep.",IRN,,0,0,27.33532213,0,1.917,12.38312
Iraq,IRQ,,44.52415311,26.69886215,0,6130,4.086,0
Isle of Man,IMN,,0,0,0,0,0,0
Israel,ISR,,36.17614667,21.01122009,1.70761176,32030,3.04,0
Jamaica,JAM,,30.42948794,8.279875233,6.898248186,5130,2.284,21.74227
Kazakhstan,KAZ,,47.6041121,26.23199632,5.113708884,9780,2.59,0
Kenya,KEN,,27.29897111,9.383363638,9.378395851,860,4.459,0
Kiribati,KIR,,11.21241124,0,0,2520,2.982,0
"Korea, Dem. Rep.",PRK,,0,0,0,0,1.995,0
"Korea, Rep.",KOR,,56.50215193,30.94563691,2.192307692,22670,1.297,0
Kosovo,KSV,,18.37897461,18.33386983,2.476737822,3600,2.19,0
Kuwait,KWT,,70.55621413,0,2.827458709,0,2.626,0
Kyrgyz Republic,KGZ,,0,29.57608657,2.687027306,990,3.1,0
Lao PDR,LAO,,36.23947372,15.7211904,4.256942205,1270,3.108,0
Least developed countries: UN classification,LDC,,27.15938415,0,6.275284253,761.9549601,4.245576689,0
Lebanon,LBN,,28.67431704,13.59049977,0,9190,1.498,0
Lesotho,LSO,,46.52268034,18.0783481,6.1035928,1380,3.092,0
Libya,LBY,,0,0,6.07207821,0,2.41,0
Liechtenstein,LIE,,0,0,0,0,1.51,0
"Macao SAR, China",MAC,,108.2758021,0,6.110607434,0,1.058,0
"Macedonia, FYR",MKD,,53.16864165,25.51793835,3.316055667,4620,1.436,0
Madagascar,MDG,,0,0,6.358698792,430,4.528,6.51468
Malawi,MWI,,0,0,21.271265,320,5.471,0
Maldives,MDV,,105.8467558,0,13.14234415,5750,2.287,0
Mali,MLI,,31.11950197,0,5.42738719,660,6.852,0
Marshall Islands,MHL,,0,0,0,4040,0,0
Mauritania,MRT,,58.02311696,0,4.935879814,1110,4.728,0
Mexico,MEX,,32.87482526,21.50672753,4.111508546,9640,2.216,0
"Micronesia, Fed. Sts.",FSM,,0,0,0,3230,3.347,0
Middle income,MIC,,0,30.94105345,4.586374696,4370.452595,2.388568678,0
Monaco,MCO,,0,0,0,0,0,0
Mongolia,MNG,,50.93502802,33.28228492,14.98449058,3160,2.446,0
Montenegro,MNE,,42.40832654,-0.207420724,0,7220,1.676,0
Mozambique,MOZ,,29.78916234,12.35715528,2.091276161,510,5.263,0
Myanmar,MMR,,0,0,1.467583227,0,1.959,0
Namibia,NAM,,42.5938522,0,6.539309331,5610,3.107,0
Nepal,NPL,,10.0171224,40.76712568,9.454180743,700,2.389,0
New Caledonia,NCL,,0,0,0,0,2.149,0
Nicaragua,NIC,,44.03930885,17.34612778,7.193613575,1650,2.541,0
Niger,NER,,24.78328579,0,0.45508982,390,7.574,0
Northern Mariana Islands,MNP,,0,0,0,0,0,0
Not classified,INX,,0,0,0,0,0,0
Oman,OMN,,0,0,2.910702521,0,2.884,0
Other small states,OSS,,51.61414843,0,6.146775489,4597.425594,3.561505364,0
Pacific island small states,PSS,,51.54164272,0,0,3138.78737,3.310031111,0
Pakistan,PAK,,12.33163614,20.33445958,9.68505341,1260,3.264,0
Palau,PLW,,70.41038436,0,0,9860,0,0
Panama,PAN,,83.5366532,26.72748908,5.698199592,8510,2.493,0
Papua New Guinea,PNG,,0,0,2.235822296,1790,3.838,0
Paraguay,PRY,,46.6100201,12.35147675,3.67591898,3400,2.897,0
Poland,POL,,46.15572383,17.54603881,3.556869954,12660,1.3,0
Puerto Rico,PRI,,0,0,0,18000,1.644,0
Qatar,QAT,,74.66085963,0,1.866585067,0,2.036,0
Romania,ROU,,39.99576851,22.18336065,3.333800252,8560,1.53,0
Rwanda,RWA,,13.16812674,11.54641154,6.27090301,600,4.616,8.08108
Samoa,WSM,,32.09296797,0,2.049018835,3260,4.212,0
San Marino,SMR,,0,0,2.827332242,0,1.26,0
Sao Tome and Principe,STP,,11.21927944,0,10.40610613,1310,4.145,0
Saudi Arabia,SAU,,56.17325899,0,2.885962454,24310,2.702,0
Senegal,SEN,,24.29009731,0,1.417053506,1030,4.981,0
Serbia,SRB,,0,0,7.330385896,5280,1.32,0
Sierra Leone,SLE,,0,0,12.87007632,580,4.782,0
Sint Maarten (Dutch part),SXM,,0,0,0,0,0,0
Slovenia,SVN,,0,0,2.598297643,22810,1.58,0
Small states,SST,,46.59442967,0,3.79168492,5498.819967,3.205014292,0
Solomon Islands,SLB,,0,0,0,1130,4.099,0
Somalia,SOM,,0,0,0,0,6.667,0
South Africa,ZAF,,28.25695401,13.15664859,5.413849759,7460,2.412,0
South Asia,SAS,,0,29.52298611,9.383313174,1437.097875,2.593164876,0
South Sudan,SSD,,10.24844775,0,0,790,5.01,0
St. Kitts and Nevis,KNA,,0,18.34715501,1.374660175,13610,0,0
St. Lucia,LCA,,0,12.95969985,4.177635871,6890,1.936,16.28597
St. Martin (French part),MAF,,0,0,0,0,1.82,0
St. Vincent and the Grenadines,VCT,,26.92581562,-6.674745347,2.598444141,6400,2.021,0
Sudan,SDN,,0,9.880573946,37.39336493,1500,4.491,0
Suriname,SUR,,0,0,5.006863194,8680,2.292,0
Swaziland,SWZ,,0,0,8.939609185,2860,3.407,0
Switzerland,CHE,,0,32.79956839,-0.66694456,80970,1.52,0
Syrian Arab Republic,SYR,,0,0,36.70229534,0,3.003,16.26977
Tajikistan,TJK,,18.22881266,17.89470417,5.83116601,880,3.819,0
Tanzania,TZA,,29.55571201,23.51528287,16.00109385,570,5.287,0
Thailand,THA,,0,30.22963008,3.014899503,5210,1.412,0
Timor-Leste,TLS,,0,0,11.80030967,3620,5.3,0
Togo,TGO,,0,0,2.630773937,500,4.695,9.39431
Tonga,TON,,0,5.861783436,1.212990573,4220,3.815,0
Trinidad and Tobago,TTO,,0,0,9.263625646,14710,1.799,0
Turkmenistan,TKM,,0,0,0,5410,2.353,0
Turks and Caicos Islands,TCA,,0,0,0,0,0,0
Tuvalu,TUV,,0,0,0,5650,0,0
United Arab Emirates,ARE,,0,0,0,38620,1.82,0
Upper middle income,UMC,,0,32.21141501,4.636009019,6969.425429,1.887140027,0
Uzbekistan,UZB,,0,0,0,1720,2.53,0
Vanuatu,VUT,,47.51996113,0,1.363636364,3000,3.419,0
"Venezuela, RB",VEN,,0,25.64341486,21.06899563,12460,2.417,0
Vietnam,VNM,,0,31.61473252,9.094216079,1550,1.768,0
Virgin Islands (U.S.),VIR,,0,0,0,0,1.8,0
West Bank and Gaza,PSE,,0,0,0,0,4.076,0
World,WLD,,0,21.60360461,3.67591898,10180.56758,2.468886232,0
"Yemen, Rep.",YEM,,0,0,17.28530543,1270,4.207,0
Zambia,ZMB,,46.37855542,24.72994534,6.585623581,1350,5.731,0
Zimbabwe,ZWE,,44.31299529,0,0,650,3.564,0
